"Rank","Name","Symbol","marketcap","price (USD)","country"
"435","Huhtamäki","HUH1V.HE","3928965227","37.5041","Finland"
"436","Budimex","BDX.WA","3925916591","153.776","Poland"
"437","Technip Energies","TE.PA","3914836023","22.4545","France"
"438","DEME Group","DEME.BR","3891002069","153.98","Belgium"
"439","Ringkjøbing Landbobank","RILBA.CO","3889727247","155.848","Denmark"
"440","Credito Emiliano","CE.MI","3866504628","11.2599","Italy"
"441","Pandox AB","PNDX-B.ST","3860174289","19.8361","Sweden"
"442","Alpha Services and Holdings","ALPHA.AT","3857246477","1.64598","Greece"
"443","Enagás","ENG.MC","3831223574","14.6793","Spain"
"444","DMG Mori","GIL.F","3810827764","48.2413","Germany"
"445","Embracer Group","EMBRAC-B.ST","3788870677","2.8067","Sweden"
"446","Husqvarna","HUSQ-A.ST","3769848653","6.55788","Sweden"
"447","Hensoldt","HAG.F","3720039063","31.3623","Germany"
"448","Freenet","FNTN.F","3672868771","30.5129","Germany"
"449","Aroundtown","AT1.F","3665281882","3.30393","Luxembourg"
"450","United Internet","UTDI.F","3657584040","21.0171","Germany"
"451","ERG","ERG.MI","3655770881","24.8285","Italy"
"452","SOL S.p.A.","SOL.MI","3654470112","40.2918","Italy"
"453","Voestalpine","VAS.F","3646413765","21.1913","Austria"
"454","Vallourec","VK.PA","3625150683","15.2456","France"
"455","Bakkafrost","BAKKA.OL","3606745325","60.8185","Denmark"
"456","Kemira","KEMIRA.HE","3601823822","23.391","Finland"
"457","Brembo","BRE.MI","3601567906","11.2948","Italy"
"458","Azimut Holding","AZM.MI","3585052379","25.3185","Italy"
"459","Virbac SA","VIRP.PA","3566043202","424.698","France"
"460","ISS A/S","ISS.CO","3537002189","19.7728","Denmark"
"461","Banca Popolare di Sondrio","BPSO.MI","3519236433","7.7589","Italy"
"462","Merus","MRUS","3518297600","51.58","Netherlands"
"463","Brederode","BREB.BR","3504034499","119.569","Luxembourg"
"464","IONOS Group","IOS.DE","3494262006","24.8285","Germany"
"465","Munters Group AB","MTRS.ST","3493523809","19.1383","Sweden"
"466","Avanza Bank","AZA.ST","3458681947","21.9966","Sweden"
"467","Ströer","SAX.F","3454857018","61.3634","Germany"
"468","Cargotec","CGCBV.HE","3452722709","54.0129","Finland"
"469","Mycronic","MYCR.ST","3452066919","35.3705","Sweden"
"470","Fortnox AB","FNOX.ST","3446177061","5.65163","Sweden"
"471","Wihlborgs Fastigheter AB","WIHL.ST","3441423905","11.1943","Sweden"
"472","Hemnet Group AB","HEM.ST","3439321223","35.9058","Sweden"
"473","ALTEN","ATE.PA","3405504746","98.0072","France"
"474","Corporación Financiera Alba","ALB.MC","3382029576","56.0819","Spain"
"475","HEXPOL AB","HPOL-B.ST","3361822336","9.76034","Sweden"
"476","Schaeffler","SHA.F","3359372615","5.0441","Germany"
"477","Rémy Cointreau","RCO.PA","3353929792","64.6847","France"
"478","CIE Automotive","CIE.MC","3351383173","27.9865","Spain"
"479","Samsonite International","1SO.F","3349364556","2.35544","Luxembourg"
"480","Nordex","NDX1.F","3334452270","14.1021","Germany"
"481","Vidrala","VID.MC","3331363432","104.323","Spain"
"482","Perrigo","PRGO","3325115904","24.375","Ireland"
"483","Sixt","SIX2.F","3319568420","76.8267","Germany"
"484","Aedifica","AED.BR","3319134644","69.8029","Belgium"
"485","Wienerberger","WIB.F","3302948074","29.6417","Austria"
"486","Groupe Lagardère","MMB.PA","3251452292","23.0317","France"
"487","Olink Holding","OLK","3242865408","26.08","Sweden"
"488","Indra Sistemas","IDR.MC","3228563946","18.6431","Spain"
"489","Cmb.Tech","CMBT","3194626560","16.1","Belgium"
"490","HUGO BOSS","BOSS.DE","3192287941","45.1269","Germany"
"491","TAG Immobilien","TEG.F","3192232743","17.9571","Germany"
"492","Redcare Pharmacy","RDC.DE","3179291125","158.772","Netherlands"
"493","Gerresheimer","GXI.F","3148563040","89.731","Germany"
"494","Verallia","VRLA.PA","3143943165","26.7015","France"
"495","CCC S.A.","CCC.WA","3129966914","45.4488","Poland"
"496","Lottomatica Group","LTMC.MI","3118315844","12.3925","Italy"
"497","Société Foncière Lyonnaise","FLY.PA","3077330755","71.6541","France"
"498","Aurubis","NDA.F","3064164722","70.184","Germany"
"499","Thule Group AB","THULE.ST","3058572206","28.9273","Sweden"
"500","Unicaja Banco","UNI.MC","3057317426","1.19024","Spain"
"501","Signify","LIGHT.AS","3049883027","24.1751","Netherlands"
"502","Encavis","ECV.F","3041486294","18.7194","Germany"
"503","Melexis NV","MELE.BR","3035609139","75.1388","Belgium"
"504","Vitrolife AB","VITR.ST","3022104778","22.3121","Sweden"
"505","Alm. Brand","ALMB.CO","3009344321","1.99187","Denmark"
"506","Viscofan","VIS.MC","2986128908","65.2292","Spain"
"507","FLSmidth","FLS.CO","2977511567","52.387","Denmark"
"508","Corporación América Airports","CAAP","2970738176","18.455","Luxembourg"
"509","Bank Handlowy w Warszawie","BHW.WA","2955320864","22.6484","Poland"
"510","Soitec","SOI.PA","2954124029","82.8161","France"
"511","Covivio Hotels","COVH.PA","2952112939","19.9281","France"
"512","The Navigator Company","NVG.LS","2912972231","4.04443","Portugal"
"513","Iren","IRE.MI","2903452310","2.26288","Italy"
"514","Carmila","CARM.PA","2882667608","20.3637","France"
"515","GN Store Nord","GN.CO","2881305022","19.7874","Denmark"
"516","Orange Polska","OPL.WA","2860574209","2.17972","Poland"
"517","Umicore","UMI.VI","2857413011","11.5757","Belgium"
"518","Morphosys","MOR","2856343040","18.96","Germany"
"519","LEW (Lechwerke)","LEC.F","2856256648","80.5837","Germany"
"520","Fabege AB","FABG.ST","2852354756","9.06727","Sweden"
"521","Rubis","RUI.PA","2833415137","27.2242","France"
"522","Maire Tecnimont","MAIRE.MI","2803221187","8.57018","Italy"
"523","Société Industrielle et Financière de l'Artois","ARTO.PA","2797375533","10508.5","France"
"524","Jungheinrich","JUN3.F","2786213342","27.5945","Germany"
"525","Webuild S.p.A.","WBD.MI","2762719216","2.76816","Italy"
"526","CA Immo","BZY.F","2760676903","27.8776","Austria"
"527","Lanxess","LXS.F","2747860176","31.5365","Germany"
"528","Pluxee","PLX.PA","2745714716","18.8","France"
"529","Grafton Group","GFTU.L","2745214962","13.7953","Ireland"
"530","Sacyr","SCYR.MC","2741937859","3.61102","Spain"
"531","ID Logistics Group","IDL.PA","2740731874","418.708","France"
"532","Bure Equity AB","BURE.ST","2724680681","36.7471","Sweden"
"533","VGP NV","VGP.BR","2701491086","98.9873","Belgium"
"534","BIC","BB.PA","2700311306","65.447","France"
"535","Ebro Foods","EBRO.MC","2694271066","17.5106","Spain"
"536","SYNLAB","SYAB.DE","2693607943","12.2562","Germany"
"537","Atrium Ljungberg","ATRLJ-B.ST","2682285611","21.2701","Sweden"
"538","Cofinimmo","COFB.BR","2678490393","70.8374","Belgium"
"539","Kindred Group","KIND-SDB.ST","2678007026","12.4083","Malta"
"540","1&1","1U1.DE","2676273566","15.1802","Germany"
"541","BillerudKorsnäs","BILL.ST","2669952425","10.7354","Sweden"
"542","SES S.A.","SESG.PA","2668030439","4.13373","Luxembourg"
"543","Iveco Group","IVG.MI","2664548805","9.96842","Italy"
"544","Titan Cement International","TITC.BR","2656124752","35.7182","Belgium"
"545","Imerys","NK.PA","2641339310","31.2752","France"
"546","Valeo","FR.PA","2639234830","10.8636","France"
"547","L.D.C. S.A.","LOUP.PA","2627687928","74.039","France"
"548","Elekta AB","EKTA-B.ST","2624362022","6.86857","Sweden"
"549","Polestar","PSNY","2606282240","1.235","Sweden"
"550","Hufvudstaden AB","HUFV-A.ST","2597324358","12.8385","Sweden"
"551","Immofinanz","IMO1.F","2593523650","18.7303","Austria"
"552","Electrolux","ELUX-A.ST","2592108964","10.9935","Sweden"
"553","Bank Millennium","MIL.WA","2579350754","2.12804","Poland"
"554","Just Eat Takeaway","TKWY.AS","2571353710","12.485","Netherlands"
"555","Kojamo","KOJAMO.HE","2563483027","10.3724","Finland"
"556","Keywords Studios","KWS.L","2558364358","31.7671","Ireland"
"557","Corem Property Group AB","CORE-PREF.ST","2551324383","26.2889","Sweden"
"558","Trigano","TRI.PA","2546736396","129.478","France"
"559","Sydbank A/S","SYDB.CO","2523754066","48.3011","Denmark"
"560","TERNA ENERGY Industrial Commercial Technical","TENERGY.AT","2503033518","21.3111","Greece"
"561","Air France-KLM","AF.PA","2493274128","9.49363","France"
"562","Coface","COFA.PA","2489171382","16.5414","France"
"563","Grand City Properties","GYC.DE","2485058600","14.4071","Luxembourg"
"564","Athens International Airport","AIA.AT","2482848742","8.27616","Greece"
"565","Acerinox","ACX.MC","2473834520","9.92595","Spain"
"566","Financière Moncey Société anonyme","FMONC.PA","2469345948","13503.2","France"
"567","Uniqa Insurance Group","UN9.F","2463612920","7.94947","Austria"
"568","Qt Group","QTCOM.HE","2453957234","96.646","Finland"
"569","Motor Oil (Hellas) Corinth Refineries","MOH.AT","2449994433","22.6288","Greece"
"570","Bavarian Nordic","BAVA.CO","2434452696","30.9944","Denmark"
"571","MONETA Money Bank","MONET.PR","2433438097","4.76211","Czech Republic"
"572","Solvac","SOLV.BR","2432415934","113.797","Belgium"
"573","Ardagh Metal Packaging","AMBP","2429528576","4.065","Luxembourg"
"574","Atoss","AOF.F","2400973346","150.06","Germany"
"575","Altarea","ALTA.PA","2397638907","109.55","France"
"576","VusionGroup","VU.PA","2386852784","150.06","France"
"577","Cadeler A/S","CDLR","2374961664","26.72","Denmark"
"578","Proximus","PROX.VI","2369870308","7.31787","Belgium"
"579","HELLENiQ ENERGY","ELPE.AT","2366399826","7.74257","Greece"
"580","Südzucker","SZU.F","2364911998","11.5866","Germany"
"581","Douglas Group","DOU.DE","2352500891","21.8447","Germany"
"582","Carel Industries","CRL.MI","2349576252","20.8864","Italy"
"583","ENAV","ENAV.MI","2346869337","4.33627","Italy"
"584","Mandatum","MANTA.HE","2340773621","4.65643","Finland"
"585","KWS","KWS.F","2335297575","69.889","Germany"
"586","Exclusive Networks","EXN.PA","2334015115","25.7541","France"
"587","Tradegate Exchange","T2G.F","2323919242","95.2848","Germany"
"588","Metsä Board","METSA.HE","2315791528","8.03659","Finland"
"589","Vitesco Technologies Group","VTSC.DE","2305479185","57.6064","Germany"
"590","Star Bulk Carriers","SBLK","2291902464","20.0699","Greece"
"591","Spar Nord Bank A/S","SPNO.CO","2289654700","19.9042","Denmark"
"592","Criteo","CRTO","2274674688","40.63","France"
"593","Sinch","SINCH.ST","2263647017","2.68146","Sweden"
"594","Bank für Tirol und Vorarlberg","BTS.VI","2262642744","60.9823","Austria"
"595","Ipsos","IPS.PA","2249900033","52.2269","France"
"596","TietoEVRY","TIETO.HE","2229064314","18.7956","Finland"
"597","AUTO1","AG1.F","2225511454","10.2744","Germany"
"598","Vimian Group","VIMIAN.ST","2219886770","4.24924","Sweden"
"599","TeamViewer","TMV.DE","2207193919","13.4052","Germany"
"600","MVV Energie","MVV1.F","2181821540","33.1047","Germany"
"601","Österreichische Post","POST.VI","2177455071","32.2335","Austria"
"602","MFE-Mediaforeurope","MFEA.MI","2174562352","3.31482","Italy"
"603","Netcompany Group","NETC.CO","2171586820","45.3826","Denmark"
"604","Thyssenkrupp","TKA.F","2161202152","3.47163","Germany"
"605","Constellium","CSTM","2160348928","14.77","France"
"606","Hypoport","HYQ.F","2140747102","316.454","Germany"
"607","Icade","ICAD.PA","2131915618","28.0301","France"
"608","Antin Infrastructure Partners","ANTIN.PA","2129845149","11.7609","France"
"609","Robertet","CBE.PA","2127372824","887.618","France"
"610","NH Hotel Group","NHH.MC","2120618918","4.86769","Spain"
"611","VEON","VEON","2116404608","29.955","Netherlands"
"612","Ermenegildo Zegna","ZGN","2112721920","8.37","Italy"
"613","KRUK Spólka Akcyjna","KRU.WA","2112328488","109.341","Poland"
"614","Loomis AB","LOOMIS.ST","2105899116","30.2274","Sweden"
"615","Grupa Kety","KTY.WA","2091083854","214.83","Poland"
"616","Almirall","ALM.MC","2083241886","9.76805","Spain"
"617","Bilfinger","GBF.F","2073714298","54.6662","Germany"
"618","Technogym","TGYM.MI","2070131051","10.3942","Italy"
"619","Kinnevik","KINV-A.ST","2068016196","7.27867","Sweden"
"620","Yubico","YUBICO.ST","2062152378","23.9468","Sweden"
"621","Cimpress","CMPR","2059301248","81.5","Ireland"
"622","Einhell Germany","EIN3.DE","2059212092","181.858","Germany"
"623","Van Lanschot Kempen","VLK.AS","2047959438","48.4591","Netherlands"
"624","K+S","SDF.F","2043959421","11.4124","Germany"
"625","NOS","NOS.LS","2043482296","3.99652","Portugal"
"626","Planisware","PLNW.PA","2033826192","29.0265","France"
"627","RHI Magnesita","RHF.F","2029967932","43.0143","Austria"
"628","Worldline","WLN.PA","2015414570","7.08047","France"
"629","Peab","PEAB-B.ST","2014227686","7.00718","Sweden"
"630","Peugeot Invest Société anonyme","PEUG.PA","2012335629","81.1282","France"
"631","Mainova","MNV6.F","2012158049","365.894","Germany"
"632","NV Bekaert","BEKB.BR","2006527192","38.2664","Belgium"
"633","Aperam","APAM.AS","2006080035","27.6162","Luxembourg"
"634","Mensch und Maschine","MUM.F","2002241568","58.6954","Germany"
"635","Lindab International","LIAB.ST","1996842778","25.983","Sweden"
"636","Argan SA","ARG.PA","1987416957","78.2969","France"
"637","Sonae","SON.LS","1983729030","1.02581","Portugal"
"638","BFF Bank","BFF.MI","1982404704","10.5902","Italy"
"639","Siltronic","WAF.F","1978111693","65.9371","Germany"
"640","Eutelsat","ETL.PA","1974606503","4.1163","France"
"641","RENK Group","R3NK.DE","1962539405","19.6254","Germany"
"642","Industrie De Nora","DNR.MI","1958073832","9.85517","Italy"
"643","Aktieselskabet Schouw & Co.","SCHO.CO","1954654386","84.4905","Denmark"
"644","Galapagos NV","GLPG","1947311616","29.53","Belgium"
"645","Benefit Systems","BFT.WA","1941066284","656.145","Poland"
"646","Cenergy Holdings","CENER.BR","1940002317","9.86606","Belgium"
"647","Paradox Interactive","PDX.ST","1939657869","18.364","Sweden"
"648","Anima Holding","ANIM.MI","1916676711","6.18534","Italy"
"649","Afry AB","AFRY.ST","1915194717","16.9109","Sweden"
"650","Jeudan","JDAN.CO","1907439756","34.4383","Denmark"
"651","Hornbach Baumarkt","HBM.HM","1905013560","59.8933","Germany"
"652","AddLife AB","ALIF-B.ST","1904725752","15.6299","Sweden"
"653","Danieli &amp; C. Officine Meccaniche","DAN.MI","1902888311","29.1299","Italy"
"654","Adient","ADNT","1898560128","21.775","Ireland"
"655","Metro AG","B4B.F","1897838702","5.10726","Germany"
"656","Gek Terna","GEKTERNA.AT","1895552599","19.1223","Greece"
"657","Dermapharm","DMP.F","1890982485","34.7381","Germany"
"658","Vaisala","VAIAS.HE","1890687261","52.1072","Finland"
"659","Philip Morris ČR","TABAK.PR","1879513575","684.607","Czech Republic"
"660","Vitec Software Group","VIT-B.ST","1873221162","47.0714","Sweden"
"661","Gelsenwasser","WWG.F","1871664981","544.484","Germany"
"662","TF1","TFI.PA","1870480880","8.79887","France"
"663","Montea Comm","MONT.BR","1866114690","81.4549","Belgium"
"664","Ubisoft","UBI.PA","1853810772","14.1838","France"
"665","Inter Cars","CAR.WA","1844907488","130.216","Poland"
"666","Dometic Group","DOM.ST","1826464692","5.71663","Sweden"
"667","Aixtron","AIXA.F","1815261209","16.1276","Germany"
"668","Eramet","ERA.PA","1801266654","62.8335","France"
"669","Deutsche EuroShop","DEQ.F","1790133037","23.4673","Germany"
"670","Applus Services","APPS.MC","1779458565","13.7863","Spain"
"671","Northern Data AG","NB2.DE","1776986658","28.3132","Germany"
"672","MM Group (Mayr-Melnhof AG)","MYM.F","1768485244","88.4243","Austria"
"673","Elecnor","ENO.MC","1765225656","20.8429","Spain"
"674","flatexDEGIRO AG","FTK.DE","1761898883","15.7683","Germany"
"675","Prodea Real Estate Investment Company","PRODEA.AT","1738912965","6.80605","Greece"
"676","REN (Redes Energéticas Nacionais)","RENE.LS","1737188875","2.61897","Portugal"
"677","DO &amp; CO Aktiengesellschaft","DOC.VI","1736691957","158.118","Austria"
"678","Forvia SE","FRVIA.PA","1729654954","8.80976","France"
"679","Basic-Fit","BFIT.AS","1727801372","26.1788","Netherlands"
"680","Cyfrowy Polsat","CPS.WA","1716023392","3.11605","Poland"
"681","Vicat S.A.","VCT.PA","1715323498","37.9506","France"
"682","Salcef Group","SCF.MI","1711759625","28.0954","Italy"
"683","Fincantieri","FCT.MI","1710675744","5.31961","Italy"
"684","HelloFresh","HFG.DE","1706269690","9.77676","Germany"
"685","Compagnie Plastic Omnium","POM.PA","1704923290","11.8414","France"
"686","Betsson AB","BETS-B.ST","1698242628","12.3701","Sweden"
"687","Esker","ALESK.PA","1696733320","285.745","France"
"688","Sparkassen Immobilien","T1L.F","1691666427","23.9573","Austria"
"689","Ceconomy","CEC.DE","1685633157","3.45421","Germany"
"690","NewAmsterdam Pharma Company","NAMS","1685088256","18.72","Netherlands"
"691","Gestamp Automoción","GEST.MC","1684844918","2.96199","Spain"
"692","Métropole Télévision (Groupe M6)","MMT.PA","1681716215","13.2419","France"
"693","Tessenderlo Group","TESB.BR","1668463064","27.1698","Belgium"
"694","Ariston Holding","ARIS.MI","1668090620","4.53229","Italy"
"695","Pfeiffer Vacuum","PFV.F","1665563097","167.919","Germany"
"696","Believe S.A.","BLV.PA","1658887666","16.487","France"
"697","Saras S.p.A.","SRS.MI","1654385852","1.73963","Italy"
"698","TKH Group","TWEKA.AS","1651378417","41.4244","Netherlands"
"699","engcon AB","ENGCON-B.ST","1645469239","10.8406","Sweden"
"700","Intercos","ICOS.MI","1643608233","17.075","Italy"
"701","Systemair AB","SYSR.ST","1640425544","7.88666","Sweden"
"702","Meliá Hotels International","MEL.MC","1633343979","7.42132","Spain"
"703","Cementir","CEM.MI","1632633937","10.367","Italy"
"704","Dürr","DUE.F","1617202291","23.3693","Germany"
"705","Danaos","DAC","1612939392","83.375","Greece"
"706","Jenoptik","JEN.F","1609373564","28.1172","Germany"
"707","Rai Way","RWAY.MI","1596462890","5.94577","Italy"
"708","Viohalco","VIO.BR","1594711480","6.15267","Belgium"
"709","Corbion","CRBN.AS","1577890276","27.1589","Netherlands"
"710","Alleima AB","ALLEI.ST","1568870158","6.27109","Sweden"
"711","Xior Student Housing","XIOR.BR","1560878249","36.8616","Belgium"
"712","NP3 Fastigheter AB","NP3.ST","1559554927","25.3329","Sweden"
"713","NCC","NCC-B.ST","1556376824","15.9072","Sweden"
"714","Asseco","ACP.WA","1553927069","22.7877","Poland"
"715","TOD'S","TOD.MI","1553257695","46.9354","Italy"
"716","OX2 AB","OX2.ST","1548767916","5.68318","Sweden"
"717","Dole PLC","DOLE","1545818624","16.28","Ireland"
"718","Sanlorenzo","SL.MI","1521104580","42.0886","Italy"
"719","Xvivo Perfusion AB","XVIVO.ST","1520667556","48.2759","Sweden"
"720","Tauron Polska","TPE.WA","1518879591","0.866668","Poland"
"721","Wavestone SA","WAVE.PA","1518091569","60.3289","France"
"722","OEM International","OEM-B.ST","1510943731","10.8979","Sweden"
"723","Outokumpu","OUT1V.HE","1510099479","3.56419","Finland"
"724","Bravida Holding","BRAV.ST","1509700721","7.38478","Sweden"
"725","ProSiebenSat.1 Media","PSM.F","1496060738","6.56104","Germany"
"726","Biotest","BIO.F","1492323189","44.6477","Germany"
"727","Truecaller","TRUE-B.ST","1489297174","4.33814","Sweden"
"728","Enea","ENA.WA","1486945385","2.80698","Poland"
"729","Polenergia","PEP.WA","1486746931","19.2537","Poland"
"730","Fagron","FAGR.BR","1486402683","20.3637","Belgium"
"731","Hornbach Holding","HBH.DE","1481887209","92.6712","Germany"
"732","Solaria Energía","SLR.MC","1476334967","11.8153","Spain"
"733","Lenzing","LEN.F","1440658748","36.5349","Austria"
"734","Storskogen Group","STOR-B.ST","1439689162","0.853863","Sweden"
"735","Eurocommercial Properties","ECMPA.AS","1437161921","26.8975","Netherlands"
"736","Ramsay Générale de Santé","GDS.PA","1423990452","12.7409","France"
"737","Proeduca Altus","PRO.MC","1415948183","31.3623","Spain"
"738","OVH Groupe","OVH.PA","1413579005","7.4431","France"
"739","Metrovacesa","MVC.MC","1410577702","9.31068","Spain"
"740","SeSa S.p.A.","SES.MI","1410255995","91.31","Italy"
"741","Moltiply Group (Gruppo Mutuionline)","MOL.MI","1404532863","37.5694","Italy"
"742","Construcciones y Auxiliar de Ferrocarriles","CAF.MC","1398448159","40.8363","Spain"
"743","Terveystalo","TTALO.HE","1397990548","11.0421","Finland"
"744","Hamburger Hafen","HHFA.F","1389458748","18.2076","Germany"
"745","Cosmo Pharmaceuticals","C43.F","1385986593","84.3951","Ireland"
"746","Mips AB","MIPS.ST","1370050270","51.7174","Sweden"
"747","Biotage AB","BIOT.ST","1366715837","17.0734","Sweden"
"748","New Wave Group","NEWA-B.ST","1357223620","10.2288","Sweden"
"749","Grenke","GLJ.F","1353136186","28.8577","Germany"
"750","ams AG","DQW1.F","1337660709","1.3525","Austria"
"751","OPmobility","OPM.PA","1335592534","9.28346","France"
"752","Nagarro","NA9.DE","1317992708","98.9328","Germany"
"753","Fiskars","FSKRS.HE","1317828927","16.291","Finland"
"754","Nolato AB","NOLA-B.ST","1317180851","4.88973","Sweden"
"755","Better Collective A/S","BETCO-DKK.CO","1311652993","21.0424","Denmark"
"756","Polymetal","PM6A.F","1308353833","2.03","Cyprus"
"757","Pharma Mar","PHM.MC","1305552469","75.1388","Spain"
"758","Italmobiliare","ITM.MI","1296134997","30.4911","Italy"
"759","Semapa","SEM.LS","1294098399","16.0296","Portugal"
"760","Voltalia","VLTSA.PA","1292716088","9.74627","France"
"761","thyssenkrupp nucera","NCH2.DE","1287496844","10.1927","Germany"
"762","SÜSS MicroTec","SMHN.DE","1286440004","67.2983","Germany"
"763","Bufab AB","BUFAB.ST","1286096602","33.9365","Sweden"
"764","BioArctic AB","BIOA-B.ST","1283287447","14.521","Sweden"
"765","Corticeira Amorim","COR.LS","1283218887","9.64826","Portugal"
"766","Avadel Pharmaceuticals","AVDL","1279434880","13.29","Ireland"
"767","Nokian Tyres","TYRES.HE","1273154237","9.23445","Finland"
"768","Gimv NV","GIMB.BR","1266169226","44.0488","Belgium"
"769","Dom Development","DOM.WA","1254855927","48.6408","Poland"
"770","DFDS A/S","DFDS.CO","1253725187","22.9832","Denmark"
"771","Aedas Homes","AEDAS.MC","1246358149","28.9121","Spain"
"772","GVS S.p.A.","GVS.MI","1246324696","7.12186","Italy"
"773","Faes Farma","FAE.MC","1245606011","4.00196","Spain"
"774","Trustpilot Group","TRST.L","1243267888","2.99444","Denmark"
"775","Mercialys","MERY.PA","1237062921","13.0567","France"
"776","Wüstenrot &amp; Württembergische","WUW.F","1230760910","13.133","Germany"
"777","Scandinavian Tobacco Group","STG.CO","1227082784","15.4097","Denmark"
"778","Troax Group AB","TROAX.ST","1224286577","20.4575","Sweden"
"779","Sanoma","SANOMA.HE","1219483445","7.45944","Finland"
"780","KSB SE &amp; Co. KGaA","KSB.DE","1210809748","724.164","Germany"
"781","Lisi S.A.","FII.PA","1210625756","26.5708","France"
"782","Gränges","GRNG.ST","1210378044","11.3855","Sweden"
"783","Neinor Homes","HOME.MC","1202102320","16.1167","Spain"
"784","Elmos Semiconductor","ELG.DE","1195074377","69.8029","Germany"
"785","B.F. S.p.A.","BFG.MI","1189210742","4.541","Italy"
"786","GasLog","GLOP-PA","1188081664","25.89","Greece"
"787","AmRest","EAT.MC","1187934226","5.44484","Spain"
"788","Neurones","NRO.PA","1174950931","48.1324","France"
"789","Salvatore Ferragamo","SFER.MI","1165494222","7.03474","Italy"
"790","Fluxys Belgium","FLUX.BR","1155372911","16.4434","Belgium"
"791","D/S Norden (Dampskibsselskabet Norden)","DNORD.CO","1153344694","37.9988","Denmark"
"792","Adecoagro","AGRO","1152686208","11.25","Luxembourg"
"793","Kinepolis Group","KIN.BR","1149689574","43.0143","Belgium"
"794","Altri","ALTR.LS","1148185160","5.5973","Portugal"
"795","Kontron AG","KTN.F","1145548496","18.5996","Austria"
"796","Lectra SA","LSS.PA","1143687248","29.8922","France"
"797","AQ Group","AQ.ST","1133246538","12.3892","Sweden"
"798","Pharvaris","PHVS","1124980352","20.83","Netherlands"
"799","Barco NV","BAR.BR","1117025530","12.6103","Belgium"
"800","Arjo AB","ARJO-B.ST","1115965296","4.09724","Sweden"
"801","Rusta AB","RUSTA.ST","1112460925","7.34177","Sweden"
"802","Adtran Networks","ADV.DE","1109906497","21.322","Germany"
"803","Vetoquinol","VETO.PA","1108129160","93.6513","France"
"804","Prosegur","PSG.MC","1105108483","2.07557","Spain"
"805","Verbio","VBK.F","1099098142","17.271","Germany"
"806","Calliditas Therapeutics","CALT","1096594688","40.0001","Sweden"
"807","Cibus Nordic Real Estate","CIBUS.ST","1090200988","17.3124","Sweden"
"808","Casino Guichard-Perrachon","CO.PA","1084037896","2.70391","France"
"809","Grenergy Renovables","GRE.MC","1064006865","37.1338","Spain"
"810","Evotec","EVO","1062777536","2.99","Germany"
"811","Ferretti","F3T1.F","1054643964","3.05456","Italy"
"812","Befesa","BFSA.DE","1054121747","26.353","Luxembourg"
"813","Retail Estates NV","RET.BR","1045831158","71.1097","Belgium"
"814","Zignago Vetro","ZV.MI","1044088041","11.8044","Italy"
"815","Wacker Neuson","WAC.F","1038412789","15.2673","Germany"
"816","Comer Industries","COM.MI","1036007788","36.1538","Italy"
"817","EMEIS","EMEIS.PA","1035291752","6.27682","France"
"818","Per Aarsleff Holding A/S B","PAAL-B.CO","1033625122","59.6103","Denmark"
"819","Bilia AB","BILI-A.ST","1032223853","11.156","Sweden"
"820","Optima bank","OPTIMA.AT","1026715557","13.917","Greece"
"821","Telia Lietuva","ZWS.F","1024744750","1.69879","Lithuania"
"822","Clas Ohlson AB","CLAS-B.ST","1023581911","16.1557","Sweden"
"823","Aegean Airlines","AEGN.AT","1021256147","11.4124","Greece"
"824","Inwido AB","INWI.ST","1020181891","17.5992","Sweden"
"825","Formycon AG","FYB.DE","1019374200","57.7153","Germany"
"826","Nexus AG","NXU.DE","1017513579","58.9132","Germany"
"827","Juventus Turin","JUVE.MI","1017267281","2.68322","Italy"
"828","Electrica","ECEA.F","1015736940","11.1075","Romania"
"829","Nexa Resources","NEXA","1014482688","7.66","Luxembourg"
"830","Elior Group","ELIOR.PA","1011035801","3.9878","France"
"831","Caisse Régionale de Crédit Agricole Mutuel du Languedoc","CRLA.PA","1000233579","50.637","France"
"832","PNE AG","PNE3.DE","999354738","13.0458","Germany"
"833","Samhällsbyggnadsbolaget i Norden","SBB-B.ST","999182975","0.604262","Sweden"
"834","Técnicas Reunidas","TRE.MC","995695594","12.7518","Spain"
"835","Alma Media","ALMA.HE","993566721","12.0876","Finland"
"836","Dalata Hotel Group","DHG.IR","992606547","4.56822","Ireland"
"837","Frey SA","FREY.PA","991958811","30.9267","France"
"838","Cancom","COK.F","989154952","28.2478","Germany"
"839","Mediaset España Comunicación","TL5.MC","988369326","3.16","Spain"
"840","Creades AB","CRED-A.ST","981807660","7.23183","Sweden"
"841","Stabilus","STM.DE","975035365","39.4751","Luxembourg"
"842","Eckert &amp; Ziegler","EUZ.F","972084173","46.3029","Germany"
"843","Immatics","IMTX","969196352","9.4","Germany"
"844","GAG Immobilien","GWK3.HM","967062232","57.1709","Germany"
"845","Piaggio","PIA.MI","964298168","2.72242","Italy"
"846","Revenio","REG1V.HE","956332284","35.9577","Finland"
"847","NEUCA","NEU.WA","954191959","213.564","Poland"
"848","EL.En. S.p.A. (Elen Group)","ELN.MI","951233680","11.8806","Italy"
"849","Prosegur Cash","CASH.MC","945382520","0.641403","Spain"
"850","Prothena","PRTA","938483072","17.44","Ireland"
"851","OHB SE","OHB.DE","934355396","48.7858","Germany"
"852","Hexatronic Group AB","HTRO.ST","933012822","4.54081","Sweden"
